Season,HomeTeam,AwayTeam,HomePossession,AwayPossession,HomeTouches,AwayTouches,HomePasses,AwayPasses,HomeTackles,AwayTackles,HomeClearances,AwayClearances,HomeOffsides,AwayOffsides
2010/11,Aston Villa,West Ham United,56.8,43.2,636,529,395,313,27,18,24,36,1,1
2010/11,Blackburn Rovers,Everton,30.4,69.6,450,729,208,469,15,16,48,44,3,2
2010/11,Bolton Wanderers,Fulham,46.5,53.5,592,636,336,394,26,18,54,52,5,3
2010/11,Chelsea,West Bromwich Albion,59.5,40.5,782,571,592,394,16,20,10,24,3,1
2010/11,Sunderland,Birmingham City,44.1,55.9,514,581,304,386,9,16,49,39,2,1
2010/11,Tottenham Hotspur,Manchester City,39.2,60.8,613,856,374,626,27,28,20,29,1,1
2010/11,Wigan Athletic,Blackpool,56.4,43.6,630,543,428,337,26,17,15,37,3,4
2010/11,Wolverhampton Wanderers,Stoke City,61.5,38.5,588,423,369,227,16,15,46,50,0,3
2010/11,Liverpool,Arsenal,36.7,63.3,531,761,303,536,30,20,33,30,5,1
2010/11,Manchester United,Newcastle United,65.6,34.4,820,527,609,313,23,21,15,32,4,0
2010/11,Arsenal,Blackpool,53.3,46.7,801,671,581,505,14,18,13,21,4,3
2010/11,Birmingham City,Blackburn Rovers,56,44,565,485,346,253,9,17,58,52,3,2
2010/11,Everton,Wolverhampton Wanderers,59.3,40.7,630,471,421,298,16,20,32,39,3,0
2010/11,Stoke City,Tottenham Hotspur,41.7,58.3,508,678,317,466,21,18,17,53,2,1
2010/11,West Bromwich Albion,Sunderland,54.7,45.3,589,487,375,303,9,17,42,28,3,3
2010/11,West Ham United,Bolton Wanderers,50.2,49.8,572,580,350,360,9,29,25,43,6,0
2010/11,Wigan Athletic,Chelsea,51.2,48.8,659,637,453,430,19,35,16,21,1,2
2010/11,Fulham,Manchester United,42.8,57.2,629,776,410,564,14,6,38,25,0,2
2010/11,Newcastle United,Aston Villa,50.1,49.9,571,599,380,394,19,26,18,33,1,5
2010/11,Manchester City,Liverpool,54.4,45.6,690,603,492,400,30,16,24,24,1,3
2010/11,Blackburn Rovers,Arsenal,35.3,64.7,501,781,281,527,26,27,32,52,5,2
2010/11,Blackpool,Fulham,54,46,696,629,477,402,28,17,43,50,6,7
2010/11,Chelsea,Stoke City,73,27,828,395,641,224,13,19,24,30,2,1
2010/11,Manchester United,West Ham United,60.3,39.7,784,600,580,382,31,24,18,28,1,3
2010/11,Tottenham Hotspur,Wigan Athletic,63.4,36.6,739,526,511,304,16,23,23,49,2,1
2010/11,Wolverhampton Wanderers,Newcastle United,44.9,55.1,461,560,286,350,23,13,35,46,3,3
2010/11,Aston Villa,Everton,31.7,68.3,467,734,243,517,22,11,50,23,1,0
2010/11,Bolton Wanderers,Birmingham City,50.8,49.2,547,514,325,318,24,17,55,33,0,2
2010/11,Liverpool,West Bromwich Albion,51,49,625,636,414,402,26,24,30,38,1,1
2010/11,Sunderland,Manchester City,41.7,58.3,644,805,392,558,33,29,26,34,2,1
2010/11,Arsenal,Bolton Wanderers,64.3,35.7,803,491,571,299,18,39,34,15,5,1
2010/11,Everton,Manchester United,52.3,47.7,638,606,441,406,16,20,20,47,2,5
2010/11,Fulham,Wolverhampton Wanderers,61.3,38.7,780,561,570,348,17,17,43,51,6,2
2010/11,Manchester City,Blackburn Rovers,64.9,35.1,768,493,512,282,12,33,38,39,2,0
2010/11,Newcastle United,Blackpool,56.5,43.5,597,511,396,311,8,11,17,52,4,11
2010/11,West Bromwich Albion,Tottenham Hotspur,40.3,59.7,485,657,291,459,24,18,15,26,3,1
