Season,HomeTeam,AwayTeam,HomePossession,AwayPossession,HomeTouches,AwayTouches,HomePasses,AwayPasses,HomeTackles,AwayTackles,HomeClearances,AwayClearances,HomeOffsides,AwayOffsides
2013/14,Arsenal,Aston Villa,63.8,36.2,729,481,522,297,10,21,16,31,3,1
2013/14,Liverpool,Stoke City,55.3,44.7,765,669,520,416,34,34,18,31,2,1
2013/14,Norwich City,Everton,33,67,459,786,258,564,22,20,27,27,1,3
2013/14,Sunderland,Fulham,57.8,42.2,644,533,460,326,24,13,13,31,3,0
2013/14,Swansea City,Manchester United,53.7,46.3,738,662,534,471,14,9,27,42,2,5
2013/14,West Bromwich Albion,Southampton,46.7,53.3,568,620,363,400,16,11,38,39,1,2
2013/14,West Ham United,Cardiff City,43.6,56.4,488,561,294,385,11,11,40,29,5,0
2013/14,Chelsea,Hull City,51.4,48.6,738,710,551,502,14,16,27,18,1,2
2013/14,Crystal Palace,Tottenham Hotspur,41.8,58.2,551,744,362,510,21,24,27,37,4,0
2013/14,Manchester City,Newcastle United,63.5,36.5,855,572,665,377,29,14,17,21,3,2
2013/14,Chelsea,Aston Villa,69.2,30.8,856,459,677,286,16,13,29,26,5,5
2013/14,Aston Villa,Liverpool,47.4,52.6,704,756,481,546,31,23,18,35,2,2
2013/14,Everton,West Bromwich Albion,62.3,37.7,720,500,478,298,20,23,36,45,5,1
2013/14,Fulham,Arsenal,46.2,53.8,664,737,479,556,18,10,25,19,3,0
2013/14,Hull City,Norwich City,38.7,61.3,567,765,360,582,19,13,28,14,1,0
2013/14,Newcastle United,West Ham United,55.2,44.8,637,522,417,323,17,24,25,33,1,3
2013/14,Southampton,Sunderland,66.6,33.4,760,454,540,260,12,21,38,34,1,1
2013/14,Stoke City,Crystal Palace,49.6,50.4,640,669,409,437,20,31,23,37,1,0
2013/14,Cardiff City,Manchester City,30,70,450,804,264,637,16,12,36,17,4,2
2013/14,Tottenham Hotspur,Swansea City,47.6,52.4,672,719,454,511,22,14,30,43,0,3
2013/14,Manchester United,Chelsea,55.2,44.8,756,635,550,448,22,15,35,26,3,1
2013/14,Cardiff City,Everton,37,63,501,724,302,514,23,15,38,26,4,4
2013/14,Crystal Palace,Sunderland,50,50,658,628,419,407,28,24,51,33,2,1
2013/14,Manchester City,Hull City,58.2,41.8,725,568,529,376,18,19,27,23,1,1
2013/14,Newcastle United,Fulham,53.8,46.2,681,615,466,417,20,13,22,38,0,3
2013/14,Norwich City,Southampton,42.2,57.8,568,687,341,480,30,19,29,16,1,6
2013/14,West Ham United,Stoke City,44.9,55.1,517,581,321,405,12,17,29,27,1,1
2013/14,Arsenal,Tottenham Hotspur,43.4,56.6,606,725,394,509,29,14,34,19,1,0
2013/14,Liverpool,Manchester United,43,57,589,715,379,478,31,17,33,32,1,0
2013/14,West Bromwich Albion,Swansea City,42,58,641,837,457,637,14,18,29,29,3,3
2013/14,Aston Villa,Newcastle United,54.7,45.3,665,613,469,392,24,14,20,32,1,3
2013/14,Everton,Chelsea,43.5,56.5,603,699,373,491,23,19,35,11,2,0
2013/14,Fulham,West Bromwich Albion,56.6,43.4,715,584,522,387,14,15,29,38,3,4
2013/14,Hull City,Cardiff City,46,54,627,705,428,505,13,10,34,39,2,1
2013/14,Manchester United,Crystal Palace,60.4,39.6,783,570,556,377,13,24,22,33,5,0
2013/14,Stoke City,Manchester City,42.1,57.9,567,722,356,509,23,21,15,35,1,0
2013/14,Sunderland,Arsenal,30.6,69.4,474,855,273,656,25,16,22,18,4,0
2013/14,Tottenham Hotspur,Norwich City,69,31,894,472,653,289,15,29,23,26,1,4
2013/14,Southampton,West Ham United,58.7,41.3,666,517,413,282,26,19,44,31,0,2
2013/14,Swansea City,Liverpool,58.9,41.1,836,637,628,432,18,16,35,43,1,2
2013/14,Chelsea,Fulham,64.4,35.6,793,552,604,332,27,16,15,35,1,1
2013/14,Liverpool,Southampton,55.2,44.8,707,598,465,373,20,38,27,29,3,5
2013/14,Newcastle United,Hull City,61.3,38.7,755,569,552,340,17,28,23,37,0,5
2013/14,Norwich City,Aston Villa,64.2,35.8,683,493,464,264,14,25,10,45,2,2
2013/14,West Bromwich Albion,Sunderland,54.1,45.9,702,572,479,400,14,23,41,23,4,0
2013/14,West Ham United,Everton,37.7,62.3,510,748,319,526,26,17,29,41,0,2
2013/14,Arsenal,Stoke City,50.4,49.6,706,663,526,507,23,20,14,9,1,1
2013/14,Cardiff City,Tottenham Hotspur,36.3,63.7,510,720,288,513,23,15,51,16,6,1
2013/14,Crystal Palace,Swansea City,43.4,56.6,617,787,413,550,20,16,20,49,1,4
2013/14,Manchester City,Manchester United,41.6,58.4,524,697,334,478,22,14,28,38,1,4
2013/14,Aston Villa,Manchester City,33.3,66.7,451,757,273,554,18,14,29,19,0,5
2013/14,Fulham,Cardiff City,48.6,51.4,603,645,388,430,10,16,32,35,1,0
2013/14,Hull City,West Ham United,41.1,58.9,520,668,312,450,18,16,44,29,2,0
2013/14,Manchester United,West Bromwich Albion,59.1,40.9,756,568,527,368,21,13,32,35,4,1
2013/14,Southampton,Crystal Palace,60.8,39.2,765,550,537,338,15,22,35,27,1,2
2013/14,Swansea City,Arsenal,58.5,41.5,812,622,624,437,16,18,7,16,3,4
2013/14,Tottenham Hotspur,Chelsea,53.5,46.5,616,548,409,343,14,21,28,24,2,10
2013/14,Stoke City,Norwich City,55.8,44.2,687,604,463,366,22,35,29,31,4,2
2013/14,Sunderland,Liverpool,46.3,53.7,571,664,348,419,23,19,26,54,4,1
2013/14,Everton,Newcastle United,49.9,50.1,718,706,512,508,20,21,25,18,3,4
2013/14,Cardiff City,Newcastle United,57.3,42.7,707,589,477,360,20,19,22,39,1,1
2013/14,Fulham,Stoke City,44.2,55.8,624,707,394,500,18,16,35,14,6,5
2013/14,Hull City,Aston Villa,45.7,54.3,559,677,367,461,14,20,28,48,1,2
2013/14,Liverpool,Crystal Palace,61,39,847,612,614,394,20,29,33,32,5,1
2013/14,Manchester City,Everton,53.9,46.1,671,630,491,417,20,22,14,31,3,4
2013/14,Sunderland,Manchester United,37.5,62.5,545,831,338,571,22,20,27,52,1,3
2013/14,Norwich City,Chelsea,44.8,55.2,581,691,405,506,14,16,23,22,1,2
2013/14,Southampton,Swansea City,42.6,57.4,572,713,367,497,23,14,23,18,5,1
2013/14,Tottenham Hotspur,West Ham United,60.8,39.2,709,530,502,321,19,27,16,25,3,3
2013/14,West Bromwich Albion,Arsenal,44.1,55.9,622,728,410,539,15,22,23,29,4,2
2013/14,Arsenal,Norwich City,56.3,43.7,828,695,637,503,21,13,12,28,1,2
2013/14,Chelsea,Cardiff City,64.9,35.1,753,476,554,280,15,14,33,31,3,1
2013/14,Everton,Hull City,66.9,33.1,848,496,633,304,19,24,28,25,1,1
