Season,HomeTeam,AwayTeam,HomePossession,AwayPossession,HomeTouches,AwayTouches,HomePasses,AwayPasses,HomeTackles,AwayTackles,HomeClearances,AwayClearances,HomeOffsides,AwayOffsides
2016/17,Burnley,Swansea City,47.5,52.5,558,613,353,383,14,19,16,49,3,2
2016/17,Chelsea,West Ham United,61.7,38.3,770,527,556,350,18,25,17,26,1,1
2016/17,Crystal Palace,West Bromwich Albion,62.3,37.7,620,476,414,245,28,18,21,23,0,2
2016/17,Everton,Tottenham Hotspur,42.5,57.5,590,710,361,483,25,18,40,22,5,0
2016/17,Hull City,Leicester City,49.7,50.3,645,619,449,453,20,14,29,15,1,0
2016/17,Manchester City,Sunderland,76.9,23.1,864,395,681,189,5,17,26,35,1,2
2016/17,Middlesbrough,Stoke City,45.6,54.4,538,611,349,420,17,16,20,16,1,2
2016/17,Southampton,Watford,64.3,35.7,795,522,583,325,13,25,21,36,1,0
2016/17,Leicester City,Arsenal,39.5,60.5,586,810,362,555,23,20,28,27,1,2
2016/17,Liverpool,Burnley,63.9,36.1,744,509,558,309,6,26,29,53,3,3
2016/17,Manchester United,Southampton,43.4,56.6,609,716,408,533,11,25,20,22,2,2
2016/17,Stoke City,Manchester City,42.5,57.5,571,704,361,493,22,20,25,28,3,1
2016/17,Sunderland,Middlesbrough,46.9,53.1,633,681,401,476,16,30,12,34,2,0
2016/17,Swansea City,Hull City,56.6,43.4,800,659,563,460,17,27,17,34,0,5
2016/17,Tottenham Hotspur,Crystal Palace,56.9,43.1,674,574,440,325,29,28,42,24,2,0
2016/17,Watford,Chelsea,37.6,62.4,530,767,330,560,25,17,31,18,1,2
2016/17,West Bromwich Albion,Everton,33.6,66.4,466,766,283,580,23,16,17,17,0,1
2016/17,West Ham United,AFC Bournemouth,46.8,53.2,554,583,355,410,16,10,17,30,1,1
2016/17,Chelsea,Burnley,60.1,39.9,813,584,626,410,9,17,17,30,1,2
2016/17,Crystal Palace,AFC Bournemouth,59.4,40.6,689,514,447,326,19,17,29,52,5,2
2016/17,Everton,Stoke City,54.9,45.1,697,602,482,395,21,26,30,27,3,1
2016/17,Hull City,Manchester United,37.9,62.1,593,824,394,615,20,14,51,7,0,1
2016/17,Leicester City,Swansea City,52.2,47.8,623,583,408,363,15,21,32,37,3,1
2016/17,Manchester City,West Ham United,67.1,32.9,794,468,587,274,21,19,27,17,3,3
2016/17,Southampton,Sunderland,63.8,36.2,671,453,480,270,16,13,31,36,4,2
2016/17,Tottenham Hotspur,Liverpool,49.3,50.7,631,661,419,433,22,20,27,36,2,6
2016/17,Watford,Arsenal,45.3,54.7,584,724,397,490,14,22,17,33,1,2
2016/17,West Bromwich Albion,Middlesbrough,41,59,527,707,350,515,16,22,11,38,1,3
2016/17,Arsenal,Southampton,56.7,43.3,805,640,588,457,13,16,15,31,0,2
2016/17,AFC Bournemouth,West Bromwich Albion,63.5,36.5,697,463,477,272,15,16,37,25,1,1
2016/17,Burnley,Hull City,38.8,61.2,578,819,395,625,10,14,33,20,0,3
2016/17,Liverpool,Leicester City,62.7,37.3,800,525,612,346,17,18,30,13,3,1
2016/17,Manchester United,Manchester City,39.9,60.1,612,824,376,593,24,23,23,35,3,3
2016/17,Middlesbrough,Crystal Palace,57.7,42.3,736,606,526,390,24,24,19,29,3,1
2016/17,Stoke City,Tottenham Hotspur,39.7,60.3,541,700,325,510,23,8,22,32,2,0
2016/17,Sunderland,Everton,33.5,66.5,452,752,286,571,10,27,16,25,0,1
2016/17,Swansea City,Chelsea,44.9,55.1,582,697,399,488,19,18,18,21,0,3
2016/17,West Ham United,Watford,57.9,42.1,672,502,445,325,12,24,29,33,2,1
2016/17,Chelsea,Liverpool,52.7,47.3,778,691,540,497,18,20,24,26,6,2
2016/17,Crystal Palace,Stoke City,56.5,43.5,706,562,459,350,26,28,35,22,2,3
2016/17,Everton,Middlesbrough,52.2,47.8,749,696,544,502,20,22,27,27,4,3
2016/17,Hull City,Arsenal,39.3,60.7,678,963,508,801,18,17,17,9,3,2
2016/17,Leicester City,Burnley,59,41,695,552,517,361,12,14,11,41,2,4
2016/17,Manchester City,AFC Bournemouth,64.2,35.8,769,495,591,320,25,14,13,11,1,2
2016/17,Southampton,Swansea City,53,47,644,581,442,402,11,14,14,30,5,1
2016/17,Tottenham Hotspur,Sunderland,73.7,26.3,835,407,613,224,16,26,17,32,1,5
2016/17,Watford,Manchester United,39.9,60.1,462,630,284,417,19,15,20,39,0,2
2016/17,West Bromwich Albion,West Ham United,29.6,70.4,426,830,260,622,17,22,17,9,1,1
2016/17,Arsenal,Chelsea,49.5,50.5,731,738,529,538,18,21,24,20,5,2
2016/17,AFC Bournemouth,Everton,52.8,47.2,638,581,422,367,18,26,29,20,1,2
2016/17,Burnley,Watford,43.5,56.5,555,658,349,469,18,15,34,29,5,0
2016/17,Liverpool,Hull City,74.2,25.8,938,429,763,263,17,19,7,27,0,1
2016/17,Manchester United,Leicester City,67.3,32.7,912,494,712,336,15,14,31,19,4,1
2016/17,Middlesbrough,Tottenham Hotspur,41.6,58.4,587,750,391,550,31,15,31,15,0,3
2016/17,Stoke City,West Bromwich Albion,56.2,43.8,588,509,405,319,19,14,21,21,1,1
2016/17,Sunderland,Crystal Palace,44.6,55.4,564,658,360,450,15,15,39,31,3,2
2016/17,Swansea City,Manchester City,41.6,58.4,579,760,391,566,13,11,21,18,1,2
2016/17,West Ham United,Southampton,45.1,54.9,576,652,370,472,7,19,18,38,5,2
2016/17,Burnley,Arsenal,32.8,67.2,556,938,351,741,26,16,31,23,4,0
2016/17,Everton,Crystal Palace,56.6,43.4,624,516,398,297,18,14,36,29,3,1
2016/17,Hull City,Chelsea,40.9,59.1,595,759,385,554,23,19,25,18,1,0
2016/17,Leicester City,Southampton,38.1,61.9,564,796,390,627,16,19,26,19,1,2
2016/17,Manchester United,Stoke City,67.2,32.8,772,469,534,268,22,14,35,44,1,1
2016/17,Sunderland,West Bromwich Albion,55.9,44.1,631,524,424,326,17,17,32,30,2,1
2016/17,Swansea City,Liverpool,40.6,59.4,625,804,406,595,22,18,35,17,1,2
2016/17,Tottenham Hotspur,Manchester City,42.3,57.7,576,740,348,484,23,27,31,24,8,5
2016/17,Watford,AFC Bournemouth,48,52,546,585,349,382,18,15,25,22,0,2
2016/17,West Ham United,Middlesbrough,40.3,59.7,544,667,327,482,12,27,32,26,5,2
2016/17,Arsenal,Swansea City,48.7,51.3,743,724,514,525,17,26,17,21,9,2
2016/17,AFC Bournemouth,Hull City,49.5,50.5,667,634,459,461,10,24,34,17,0,3
2016/17,Chelsea,Leicester City,54.9,45.1,768,627,553,449,19,20,27,21,0,1
2016/17,Crystal Palace,West Ham United,55.2,44.8,619,551,411,351,9,25,12,38,1,1
2016/17,Liverpool,Manchester United,64.6,35.4,837,593,627,342,22,28,15,37,2,5
2016/17,Manchester City,Everton,72.6,27.4,878,478,661,255,17,25,13,49,0,6
2016/17,Middlesbrough,Watford,63.9,36.1,672,467,467,265,21,21,24,30,0,1
2016/17,Southampton,Burnley,64.6,35.4,750,488,553,307,8,12,19,40,0,1
2016/17,Stoke City,Sunderland,57.2,42.8,652,531,478,357,17,10,17,15,2,2
2016/17,West Bromwich Albion,Tottenham Hotspur,28.5,71.5,410,812,228,601,16,11,24,48,1,3
2016/17,Arsenal,Middlesbrough,74.9,25.1,909,419,706,235,9,20,15,36,5,2
2016/17,AFC Bournemouth,Tottenham Hotspur,38.4,61.6,566,756,323,543,23,18,37,34,1,3
2016/17,Burnley,Everton,34.9,65.1,502,764,294,557,13,6,53,27,1,1
2016/17,Chelsea,Manchester United,43.9,56.1,657,774,447,556,18,21,25,24,2,3
2016/17,Hull City,Stoke City,48.9,51.1,661,670,447,481,18,15,36,30,1,0
2016/17,Leicester City,Crystal Palace,44.6,55.4,617,737,403,487,18,17,42,22,1,3
2016/17,Liverpool,West Bromwich Albion,67.5,32.5,849,493,662,318,16,18,25,25,3,3
2016/17,Manchester City,Southampton,64.7,35.3,813,549,582,319,19,35,14,35,1,4
2016/17,Swansea City,Watford,53.8,46.2,660,588,443,385,15,15,36,25,1,4
2016/17,West Ham United,Sunderland,64.4,35.6,778,480,541,296,13,16,34,33,3,1
2016/17,Crystal Palace,Liverpool,44.7,55.3,641,737,417,518,27,23,32,29,4,1
2016/17,Everton,West Ham United,49.3,50.7,587,616,410,418,15,7,20,19,2,1
2016/17,Manchester United,Burnley,72.2,27.8,859,452,646,244,8,17,25,43,0,2
2016/17,Middlesbrough,AFC Bournemouth,40.4,59.6,568,726,357,526,22,16,28,14,2,1
2016/17,Southampton,Chelsea,54.8,45.2,692,622,486,409,23,27,13,33,2,0
2016/17,Stoke City,Swansea City,45.6,54.4,549,639,364,435,21,14,14,33,2,1
2016/17,Sunderland,Arsenal,34.2,65.8,465,764,299,591,17,18,23,22,6,1
2016/17,Tottenham Hotspur,Leicester City,64.1,35.9,724,469,493,275,11,19,38,23,2,1
2016/17,Watford,Hull City,54.4,45.6,672,585,476,399,13,12,21,37,0,2
2016/17,West Bromwich Albion,Manchester City,30.1,69.9,431,835,281,675,12,10,17,19,3,3
2016/17,Arsenal,Tottenham Hotspur,45.7,54.3,644,731,423,522,23,15,17,35,7,1
