Season,HomeTeam,AwayTeam,HomePossession,AwayPossession,HomeTouches,AwayTouches,HomePasses,AwayPasses,HomeTackles,AwayTackles,HomeClearances,AwayClearances,HomeOffsides,AwayOffsides
2015/16,AFC Bournemouth,Aston Villa,58.4,41.6,747,604,548,391,14,24,16,39,3,4
2015/16,Chelsea,Swansea City,52,48,635,616,433,399,16,22,14,29,2,4
2015/16,Everton,Watford,66.6,33.4,774,510,558,286,14,25,25,53,4,1
2015/16,Leicester City,Sunderland,44,56,544,636,342,442,19,19,21,14,0,1
2015/16,Manchester United,Tottenham Hotspur,50,50,675,679,487,487,21,26,30,20,1,2
2015/16,Norwich City,Crystal Palace,62.9,37.1,652,450,470,272,20,14,26,34,4,2
2015/16,Arsenal,West Ham United,61.8,38.2,781,538,556,359,12,21,18,25,3,1
2015/16,Newcastle United,Southampton,56.3,43.7,698,606,485,389,13,18,24,32,0,3
2015/16,Stoke City,Liverpool,47,53,607,676,412,478,25,19,16,33,3,2
2015/16,West Bromwich Albion,Manchester City,30.9,69.1,502,921,328,764,17,10,21,21,2,0
2015/16,Aston Villa,Manchester United,45.6,54.4,630,728,441,534,22,24,13,37,4,3
2015/16,Southampton,Everton,54.4,45.6,660,590,458,393,18,14,19,32,1,2
2015/16,Sunderland,Norwich City,43.9,56.1,575,726,386,490,31,15,20,34,2,1
2015/16,Swansea City,Newcastle United,65.8,34.2,827,496,635,333,19,19,18,18,3,1
2015/16,Tottenham Hotspur,Stoke City,53.2,46.8,687,634,500,430,16,19,17,15,3,3
2015/16,Watford,West Bromwich Albion,63.9,36.1,721,479,498,285,15,24,20,39,1,2
2015/16,West Ham United,Leicester City,69.8,30.2,756,435,553,242,15,25,22,36,1,1
2015/16,Crystal Palace,Arsenal,40.8,59.2,600,792,376,564,18,27,35,36,3,2
2015/16,Manchester City,Chelsea,49.2,50.8,615,644,423,443,17,20,23,25,1,3
2015/16,Liverpool,AFC Bournemouth,54.9,45.1,716,612,492,387,24,22,36,23,1,0
2015/16,Crystal Palace,Aston Villa,49.9,50.1,535,548,357,363,15,13,21,24,4,0
2015/16,Leicester City,Tottenham Hotspur,34.8,65.2,454,715,265,523,19,11,15,41,1,0
2015/16,Manchester United,Newcastle United,69.3,30.7,858,496,637,280,17,20,22,35,4,2
2015/16,Norwich City,Stoke City,42.6,57.4,503,640,326,467,22,15,22,18,2,4
2015/16,Sunderland,Swansea City,39.3,60.7,490,705,318,494,25,9,17,28,4,2
2015/16,West Ham United,AFC Bournemouth,45.8,54.2,570,659,373,452,20,17,15,37,3,1
2015/16,Everton,Manchester City,45.7,54.3,608,682,408,487,21,17,24,21,3,2
2015/16,Watford,Southampton,52,48,639,613,431,412,15,14,15,28,4,2
2015/16,West Bromwich Albion,Chelsea,43.9,56.1,543,646,373,496,13,9,15,24,2,1
2015/16,Arsenal,Liverpool,65.7,34.3,928,577,667,351,23,25,26,36,5,4
2015/16,Aston Villa,Sunderland,62,38,772,537,523,329,20,32,27,39,0,1
2015/16,AFC Bournemouth,Leicester City,56.1,43.9,659,550,435,336,16,30,30,17,1,1
2015/16,Chelsea,Crystal Palace,63.7,36.3,781,534,582,321,16,17,19,45,0,2
2015/16,Liverpool,West Ham United,62.7,37.3,735,516,543,326,12,25,18,25,1,0
2015/16,Manchester City,Watford,58.7,41.3,841,634,645,458,15,30,17,23,1,1
2015/16,Newcastle United,Arsenal,26.3,73.7,456,969,268,777,21,21,33,14,2,2
2015/16,Stoke City,West Bromwich Albion,49.1,50.9,632,660,446,455,18,19,19,26,2,3
2015/16,Tottenham Hotspur,Everton,49.9,50.1,624,644,440,443,25,17,17,19,3,1
2015/16,Southampton,Norwich City,61.1,38.9,733,503,533,348,16,14,19,28,2,0
2015/16,Swansea City,Manchester United,35.5,64.5,549,830,365,657,14,15,32,20,3,1
2015/16,Arsenal,Stoke City,67.6,32.4,842,496,628,305,18,16,13,31,3,3
2015/16,Crystal Palace,Manchester City,42.2,57.8,570,693,359,498,17,15,29,21,5,0
2015/16,Everton,Chelsea,38.8,61.2,554,749,351,561,23,21,39,12,0,2
2015/16,Manchester United,Liverpool,55.7,44.3,775,636,559,446,23,23,25,25,2,2
2015/16,Norwich City,AFC Bournemouth,47.7,52.3,604,663,432,476,21,13,15,15,0,2
2015/16,Watford,Swansea City,39.2,60.8,520,705,330,515,17,8,27,39,0,6
2015/16,West Bromwich Albion,Southampton,35.1,64.9,509,816,333,614,20,12,28,20,1,2
2015/16,Leicester City,Aston Villa,48.7,51.3,646,639,388,416,32,29,15,30,1,1
