Season,HomeTeam,AwayTeam,HomePossession,AwayPossession,HomeTouches,AwayTouches,HomePasses,AwayPasses,HomeTackles,AwayTackles,HomeClearances,AwayClearances,HomeOffsides,AwayOffsides
2012/13,Arsenal,Sunderland,70.1,29.9,899,474,703,294,16,28,7,34,2,1
2012/13,Fulham,Norwich City,59.8,40.2,734,527,568,376,11,16,28,24,2,1
2012/13,Newcastle United,Tottenham Hotspur,51.9,48.1,603,568,405,373,18,17,35,31,3,2
2012/13,Queens Park Rangers,Swansea City,49.9,50.1,610,632,423,434,19,19,15,43,0,2
2012/13,Reading,Stoke City,52.6,47.4,520,467,299,264,13,17,57,43,1,3
2012/13,West Bromwich Albion,Liverpool,40.5,59.5,508,711,349,523,19,15,10,29,2,4
2012/13,West Ham United,Aston Villa,34.2,65.8,480,759,277,566,18,24,37,37,0,2
2012/13,Manchester City,Southampton,64.1,35.9,884,569,689,374,19,26,16,31,2,1
2012/13,Wigan Athletic,Chelsea,52,48,643,639,473,456,23,17,6,29,0,2
2012/13,Everton,Manchester United,30.8,69.2,485,850,275,646,19,15,42,33,0,1
2012/13,Chelsea,Reading,71.6,28.4,856,419,651,234,13,10,28,38,0,2
2012/13,Aston Villa,Everton,39.2,60.8,496,699,321,507,18,14,22,31,2,3
2012/13,Chelsea,Newcastle United,52.5,47.5,667,641,513,451,17,18,22,27,1,3
2012/13,Manchester United,Fulham,59.9,40.1,804,608,614,409,25,24,20,34,1,0
2012/13,Norwich City,Queens Park Rangers,55.1,44.9,542,503,360,290,22,11,23,50,2,5
2012/13,Southampton,Wigan Athletic,49.2,50.8,653,668,451,484,12,27,21,28,0,2
2012/13,Swansea City,West Ham United,62.2,37.8,808,523,629,376,20,28,35,18,4,2
2012/13,Tottenham Hotspur,West Bromwich Albion,59,41,689,533,487,343,22,17,28,22,2,3
2012/13,Liverpool,Manchester City,48.7,51.3,658,694,462,484,18,26,20,41,0,1
2012/13,Stoke City,Arsenal,33.3,66.7,457,747,240,517,28,28,42,31,2,1
2012/13,Manchester City,Queens Park Rangers,59.9,40.1,832,605,634,421,19,22,31,29,3,0
2012/13,Swansea City,Sunderland,63.8,36.2,815,507,622,354,21,31,28,19,1,1
2012/13,Tottenham Hotspur,Norwich City,61.6,38.4,708,506,510,308,20,17,40,32,4,0
2012/13,West Bromwich Albion,Everton,44.3,55.7,529,639,366,451,10,21,22,41,5,1
2012/13,West Ham United,Fulham,45.1,54.9,659,757,453,554,26,21,33,18,1,2
2012/13,Wigan Athletic,Stoke City,68.7,31.3,715,422,540,228,13,20,24,20,1,5
2012/13,Liverpool,Arsenal,53,47,757,719,544,491,25,32,17,36,3,1
2012/13,Newcastle United,Aston Villa,51.7,48.3,615,566,389,364,11,29,31,25,3,0
2012/13,Southampton,Manchester United,45.1,54.9,680,782,487,587,21,16,27,33,2,2
2012/13,Arsenal,Southampton,50,50,778,758,567,574,21,27,19,29,4,7
2012/13,Aston Villa,Swansea City,42.1,57.9,552,694,327,474,18,19,24,61,2,1
2012/13,Fulham,West Bromwich Albion,63,37,847,533,638,373,14,18,14,23,3,1
2012/13,Manchester United,Wigan Athletic,52.2,47.8,627,562,424,388,20,19,20,25,1,0
2012/13,Norwich City,West Ham United,48.9,51.1,561,573,365,373,15,16,33,42,3,3
2012/13,Queens Park Rangers,Chelsea,52.7,47.3,669,602,451,401,33,22,43,19,3,1
2012/13,Stoke City,Manchester City,33.8,66.2,494,781,287,585,22,20,32,24,2,1
2012/13,Sunderland,Liverpool,34.1,65.9,496,809,306,611,25,27,20,19,1,1
2012/13,Reading,Tottenham Hotspur,42.3,57.7,527,679,314,479,18,21,20,44,1,1
2012/13,Everton,Newcastle United,58.3,41.7,631,510,406,294,17,22,40,56,3,3
2012/13,Chelsea,Stoke City,59.7,40.3,652,524,466,306,18,20,16,43,2,2
2012/13,Southampton,Aston Villa,60.4,39.6,734,525,492,314,25,20,39,36,5,3
2012/13,Swansea City,Everton,48.5,51.5,583,611,393,414,16,11,33,31,1,3
2012/13,West Bromwich Albion,Reading,52.9,47.1,631,599,440,382,11,14,27,33,1,1
2012/13,West Ham United,Sunderland,61.3,38.7,681,505,454,291,23,28,29,48,1,1
2012/13,Wigan Athletic,Fulham,63.6,36.4,750,509,581,320,16,9,17,34,4,0
2012/13,Liverpool,Manchester United,52,48,657,636,459,420,23,29,19,44,0,1
2012/13,Manchester City,Arsenal,41.2,58.8,637,869,433,638,38,23,22,27,1,1
2012/13,Newcastle United,Norwich City,52.8,47.2,642,553,430,368,17,15,45,33,3,1
2012/13,Tottenham Hotspur,Queens Park Rangers,43.3,56.7,580,655,336,459,19,18,57,31,2,3
2012/13,Arsenal,Chelsea,51.4,48.6,690,664,470,459,30,26,19,28,4,3
2012/13,Everton,Southampton,52.4,47.6,723,652,482,441,16,26,25,33,6,2
2012/13,Fulham,Manchester City,28.9,71.1,466,888,276,726,15,13,28,16,1,2
2012/13,Manchester United,Tottenham Hotspur,74.1,25.9,897,483,701,243,24,28,20,73,2,2
2012/13,Norwich City,Liverpool,32.9,67.1,475,901,320,700,21,11,17,30,2,5
2012/13,Reading,Newcastle United,47.4,52.6,579,663,348,409,21,22,30,80,3,1
2012/13,Stoke City,Swansea City,39,61,517,737,313,519,24,20,29,47,0,1
2012/13,Sunderland,Wigan Athletic,49.8,50.2,578,559,382,404,16,21,22,27,2,0
2012/13,Aston Villa,West Bromwich Albion,57.4,42.6,634,547,422,322,19,26,16,54,3,3
2012/13,Queens Park Rangers,West Ham United,50.5,49.5,610,584,355,334,19,21,73,51,1,1
2012/13,Chelsea,Norwich City,68.9,31.1,899,495,731,317,11,17,15,37,2,1
2012/13,Manchester City,Sunderland,60.5,39.5,739,536,529,339,15,17,29,30,2,3
2012/13,Swansea City,Reading,71.5,28.5,803,440,600,224,16,19,36,43,2,5
2012/13,West Bromwich Albion,Queens Park Rangers,44.9,55.1,555,666,382,463,22,17,23,25,3,4
