Season,HomeTeam,AwayTeam,HomePossession,AwayPossession,HomeTouches,AwayTouches,HomePasses,AwayPasses,HomeTackles,AwayTackles,HomeClearances,AwayClearances,HomeOffsides,AwayOffsides
2014/15,Arsenal,Crystal Palace,76.9,23.1,975,444,730,222,26,33,30,40,0,1
2014/15,Leicester City,Everton,36.5,63.5,531,784,344,605,13,19,37,28,1,1
2014/15,Manchester United,Swansea City,59.6,40.4,752,569,558,383,13,19,12,35,1,1
2014/15,Queens Park Rangers,Hull City,51,49,598,600,383,382,14,17,40,56,0,2
2014/15,Stoke City,Aston Villa,63.1,36.9,749,503,517,289,27,19,43,26,1,1
2014/15,West Bromwich Albion,Sunderland,57.8,42.2,628,543,439,323,18,29,15,42,0,3
2014/15,West Ham United,Tottenham Hotspur,46.6,53.4,628,650,414,482,17,19,35,27,1,0
2014/15,Liverpool,Southampton,56.1,43.9,849,662,601,450,16,35,50,14,2,2
2014/15,Newcastle United,Manchester City,44.2,55.8,669,772,460,593,23,29,21,32,1,5
2014/15,Burnley,Chelsea,38.6,61.4,589,862,413,668,12,19,21,29,3,1
2014/15,Aston Villa,Newcastle United,40.4,59.6,524,708,348,535,17,12,29,23,4,0
2014/15,Chelsea,Leicester City,63.3,36.7,777,498,530,295,23,28,42,26,2,2
2014/15,Crystal Palace,West Ham United,45.9,54.1,596,676,378,454,29,23,23,36,1,3
2014/15,Everton,Arsenal,45.8,54.2,627,725,445,527,19,15,33,28,2,0
2014/15,Southampton,West Bromwich Albion,57.6,42.4,694,557,507,368,22,19,13,17,1,1
2014/15,Swansea City,Burnley,55.4,44.6,757,637,558,445,16,19,39,23,3,1
2014/15,Hull City,Stoke City,42.7,57.3,576,722,378,501,19,16,39,47,0,2
2014/15,Sunderland,Manchester United,44.7,55.3,618,719,431,544,17,23,22,24,1,1
2014/15,Tottenham Hotspur,Queens Park Rangers,65.5,34.5,879,549,686,347,24,24,15,22,1,4
2014/15,Manchester City,Liverpool,52.9,47.1,746,686,586,508,16,17,25,20,1,1
2014/15,Burnley,Manchester United,36,64,519,761,313,553,19,21,35,30,2,1
2014/15,Everton,Chelsea,61.5,38.5,793,542,551,355,16,30,22,31,8,1
2014/15,Manchester City,Stoke City,72.2,27.8,850,458,668,240,14,24,14,36,1,2
2014/15,Newcastle United,Crystal Palace,64.3,35.7,693,477,477,268,18,20,15,48,0,2
